country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Swaziland,SWZ,Africa,Southern Africa,2014,BiocapPerCap,0.265970369,0.500203244,0.051763157,0.004635584,0.070146186,0,0.89271854,3980.77,1269000
Sweden,SWE,Europe,Northern Europe,2014,BiocapPerCap,0.747121458,0.212934961,6.47247403,2.169938015,0.140698795,0,9.74316726,53561.9,9703000
Switzerland,CHE,Europe,Western Europe,2014,BiocapPerCap,0.176876872,0.113466841,0.721423638,0.00636569,0.068338712,0,1.086471753,76410.9,8211000
Syrian Arab Republic,SYR,Asia,Western Asia,2014,BiocapPerCap,0.307047576,0.116274368,0.049154316,0.004414665,0.029263567,0,0.506154492,0,18772000
Tajikistan,TJK,Asia,Central Asia,2014,BiocapPerCap,0.295961892,0.134868079,0.006316989,0.011479506,0.093521232,0,0.542147697,892.64,8296000
"Tanzania, United Republic of",TZA,Africa,Eastern Africa,2014,BiocapPerCap,0.631954674,0.312920626,0.151451269,0.056675959,0.083787092,0,1.23678962,806.15,51823000
Thailand,THA,Asia,South-Eastern Asia,2014,BiocapPerCap,0.803529181,0.010606918,0.194118836,0.193980257,0.069450788,0,1.27168598,5589.7,67726000
Timor-Leste,TLS,Asia,South-Eastern Asia,2014,BiocapPerCap,0.190396973,0.059242655,0.48371323,0.91720002,0.040712254,0,1.691265131,893.872,1157000
Togo,TGO,Africa,Western Africa,2014,BiocapPerCap,0.361565006,0.112192049,0.021969614,0.020238605,0.026387066,0,0.542352339,531.156,7115000
Tonga,TON,Oceania,Polynesia,2014,BiocapPerCap,0,0,0,0,0,0,1.58890531,3581.84,106000
Trinidad and Tobago,TTO,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.047960337,0.006090871,0.145689602,1.360856977,0.001308062,0,1.56190585,16862.6,1354000
Tunisia,TUN,Africa,Northern Africa,2014,BiocapPerCap,0.397384904,0.079974682,0.052322252,0.232507988,0.02675763,0,0.788947456,4265.15,11130000
Turkey,TUR,Asia,Western Asia,2014,BiocapPerCap,0.700821009,0.088717138,0.574034263,0.041666742,0.034092161,0,1.439331313,13312,77524000
